country,city
Ireland,Dublin
United States,Jacksonville
Saudi Arabia,Medina
India,SrÄ«nagar
Russia,Omsk
China,Huazhou
Indonesia,Cilacap
China,Xiantao
Indonesia,Bandar Lampung
Russia,Samara
China,Guankou
"Korea, South",Ulsan
China,Dingzhou
Brazil,Campinas
China,Lianyuan
China,Rongcheng
China,Kaiyuan
Burma,Nay Pyi Taw
Senegal,Dakar
China,Zhuji
Mexico,Zapopan
China,Leiyang
China,Dadukou
Pakistan,Quetta
India,Amritsar
Peru,Callao
India,AlÄ«garh
China,Yingchuan
Honduras,Tegucigalpa
Mexico,Ciudad NezahualcÃ³yotl
Libya,Tripoli
Russia,Rostov
Mexico,NezahualcÃ³yotl
India,Bhiwandi
China,Zhoushan
Georgia,Tbilisi
Russia,Ufa
Morocco,FÃ¨s
Vietnam,BiÃªn HÃ²a
Mexico,Mexicali
India,Gwalior
China,Ankang
Nigeria,Ikare
China,Hegang
United States,Salt Lake City
India,Bhilai
China,Yuyao
Chad,Nâ€™Djamena
China,Hanchuan
China,Gongzhuling
Denmark,Copenhagen
Jordan,Irbid
India,HÄora
Germany,Cologne
Russia,Krasnoyarsk
China,Yicheng
China,Mizhou
United States,Nashville
Armenia,Yerevan
India,RÄnchi
Kazakhstan,Nur-Sultan
Mauritania,Nouakchott
South Africa,Vereeniging
United States,Richmond
Brazil,SÃ£o LuÃ­s
Honduras,San Pedro Sula
China,Taixing
United States,Memphis
"Korea, South",Goyang
India,BezwÄda
Canada,Edmonton
China,Xishan
Venezuela,Barquisimeto
Japan,Sendai
Russia,Voronezh
Russia,Perm
"Korea, South",Changwon
China,Zhongwei
China,Shouguang
Indonesia,Bogor
United States,Raleigh
Colombia,Cartagena
India,ChandÄ«garh
Kyrgyzstan,Bishkek
Netherlands,Amsterdam
Mozambique,Matola
Nigeria,Ogbomoso
Turkmenistan,Ashgabat
China,Eâ€™zhou
Brazil,MaceiÃ³
Niger,Niamey
Nicaragua,Managua
Indonesia,Patam
Turkey,TekirdaÄŸ
China,Linhai
Egypt,ShubrÄ al Khaymah
Liberia,Monrovia
China,Wafangdian
China,Zhongxiang
Kazakhstan,Shymkent
United States,New Orleans
Russia,Volgograd
Haiti,Port-au-Prince
India,Mysore
Ukraine,Odesa
Nepal,Kathmandu
India,Raipur
France,Nice
Peru,Arequipa
Nigeria,Port Harcourt
Netherlands,Rotterdam
United States,Louisville
China,Zaoyang
China,Shuizhai
India,Kota
United Arab Emirates,Abu Dhabi
Sweden,Stockholm
Canada,Ottawa
Eritrea,Asmara
Sierra Leone,Freetown
Israel,Jerusalem
Panama,Panama City
Togo,LomÃ©
Gabon,Libreville
Croatia,Zagreb
Tajikistan,Dushanbe
Malawi,Lilongwe
Benin,Cotonou
Laos,Vientiane
Sri Lanka,Colombo
Rwanda,Kigali
South Africa,Pretoria
Central African Republic,Bangui
Canada,Winnipeg
Canada,Quebec City
Latvia,Riga
Norway,Oslo
Moldova,Chisinau
Greece,Athens
Burundi,Bujumbura
Finland,Helsinki
Macedonia,Skopje
Kuwait,Kuwait City
Jamaica,Kingston
Lithuania,Vilnius
El Salvador,San Salvador
Djibouti,Djibouti
Portugal,Lisbon
Canada,Kitchener
Estonia,Tallinn
South Africa,Cape Town
Slovakia,Bratislava
Albania,Tirana
Australia,Canberra
New Zealand,Wellington
Lebanon,Beirut
Tanzania,Dodoma
Canada,Halifax
Guinea-Bissau,Bissau
South Sudan,Juba
Papua New Guinea,Port Moresby
CÃ´te Dâ€™Ivoire,Yamoussoukro
Canada,Victoria
Lesotho,Maseru
Cyprus,Nicosia
Namibia,Windhoek
Benin,Porto-Novo
Bolivia,Sucre
Costa Rica,San JosÃ©
Slovenia,Ljubljana
Bosnia And Herzegovina,Sarajevo
"Bahamas, The",Nassau
South Africa,Bloemfontein
Botswana,Gaborone
Suriname,Paramaribo
Timor-Leste,Dili
Kosovo,Pristina
Guyana,Georgetown
Equatorial Guinea,Malabo
Belgium,Brussels
Maldives,Male
Montenegro,Podgorica
Bahrain,Manama
Mauritius,Port Louis
India,New Delhi
Switzerland,Bern
Iceland,ReykjavÃ­k
Cabo Verde,Praia
Luxembourg,Luxembourg
Sri Lanka,Sri Jayewardenepura Kotte
Barbados,Bridgetown
Comoros,Moroni
Bhutan,Thimphu
Swaziland,Mbabane
Solomon Islands,Honiara
Fiji,Suva
Saint Lucia,Castries
Sao Tome And Principe,SÃ£o TomÃ©
Vanuatu,Port-Vila
Brunei,Bandar Seri Begawan
Monaco,Monaco
Burundi,Gitega
Trinidad And Tobago,Port of Spain
Samoa,Apia
Liechtenstein,Vaduz
"Gambia, The",Banjul
Kiribati,Tarawa
Seychelles,Victoria
Marshall Islands,Majuro
Saint Vincent And The Grenadines,Kingstown
Tonga,Nukuâ€˜alofa
Antigua And Barbuda,Saint Johnâ€™s
Andorra,Andorra la Vella
Belize,Belmopan
Dominica,Roseau
Saint Kitts And Nevis,Basseterre
American Samoa,Pago Pago
Malta,Valletta
"Micronesia, Federated States Of",Palikir
Tuvalu,Funafuti
Swaziland,Lobamba
Grenada,Saint Georgeâ€™s
San Marino,San Marino
West Bank,Al Quds
Northern Mariana Islands,Capitol Hill
Guam,HagÃ¥tÃ±a
Palau,Ngerulmud
India,Bareilly
Vietnam,Quáº£ng HÃ 
Japan,Kitaku
India,Jodhpur
China,Xingcheng
China,Dongtai
Brazil,Joinvile
China,Yingcheng
Ukraine,Dnipro
United Kingdom,Glasgow
Japan,Chiba
China,Danyang
Brazil,Natal
Italy,Naples
China,Zhaodong
China,Xibeijie
Iraq,Kirkuk
China,Huilong
"Korea, South",Tongjin
United States,Oklahoma City
France,Toulouse
Turkey,Denizli
India,Dispur
India,Coimbatore
China,Luocheng
India,GuwÄhÄti
China,Shima
"Korea, South",SÅngnam
India,SolÄpur
Morocco,Tangier
China,Anqiu
China,Feicheng
China,Taishan
China,Meishan
Congo (Kinshasa),Kisangani
Sudan,Khartoum North
Mexico,Aguascalientes
Morocco,Marrakech
China,Nada
Ukraine,Donetsk
China,Taihecun
China,Wuchuan
Peru,Trujillo
Philippines,Cebu City
China,Taihe
Brazil,Olinda
United States,Bridgeport
India,Trichinopoly
China,Xinâ€™an
Indonesia,Padang
China,Qingzhou
United States,Buffalo
China,Xinyi
China,Lichuan
China,Daye
United States,Fort Worth
China,Zhuanghe
United States,Hartford
Saudi Arabia,Ad DammÄm
"Korea, South",Bucheon
China,Lhasa
Syria,Homs
China,Jiaozhou
Mexico,MÃ©rida
China,Dengtalu
Nigeria,Zaria
India,Hubli
Nigeria,Abeokuta
United States,Tucson
Russia,Krasnodar
Brazil,Natal
Brazil,Novo Hamburgo
Mexico,Chihuahua
Malaysia,Klang
Italy,Turin
Nigeria,Jos
China,Laiyang
India,Jalandhar
Brazil,Campo Grande
Morocco,Sale
Venezuela,Barinas
France,Marseille
China,Kaifeng Chengguanzhen
Turkey,EskiÅŸehir
China,Gaomi
Malaysia,Ipoh
China,Haiâ€™an
United Kingdom,Liverpool
Philippines,Zamboanga City
Algeria,Oran
United Kingdom,Southampton
China,Weichanglu
Indonesia,Pekanbaru
United Kingdom,Portsmouth
China,Leping
Iraq,Erbil
Iran,KermÄnshÄh
China,Hailun
China,Yangchun
China,Macheng
Nigeria,Ilorin
Brazil,Teresina
United States,Omaha
China,Yuci
Russia,Saratov
Brazil,IguaÃ§u
United States,El Paso
Indonesia,Denpasar
China,Dehui
Mexico,Naucalpan de JuÃ¡rez
India,Bhubaneshwar
China,Tongchuan
"Korea, South",Cheongju
Nigeria,Warri
Congo (Brazzaville),Pointe-Noire
China,Rongjiawan
Mexico,San Luis PotosÃ­
Malaysia,Butterworth
India,Bhayandar
China,Renqiu
Mexico,Toluca
United States,Honolulu
Mexico,QuerÃ©taro
China,Xindi
China,Wuâ€™an
Brazil,SÃ£o Bernardo do Campo
Mexico,Hermosillo
China,Wutong
Philippines,Taguig City
Mexico,Saltillo
China,Gaoyou
China,Hejian
China,Yiyang
China,Puxi
China,Zijinglu
China,Xiashi
Turkey,Trabzon
Brazil,JoÃ£o Pessoa
China,Dongyang
United States,McAllen
Spain,Valencia
China,Qingping
Japan,Niigata
Japan,Hamamatsu
Mexico,Morelia
Philippines,Pasig City
India,MorÄdÄbÄd
Mexico,CuliacÃ¡n
China,Xiangxiang
Indonesia,Malang
China,Xingyi
China,Chaohucun
China,Fuyang
Philippines,Antipolo
United Kingdom,Nottingham
China,Cencheng
Poland,KrakÃ³w
United States,Hempstead
Turkey,Erzurum
United Arab Emirates,Al â€˜Ayn
China,Songzi
China,Laixi
China,Zhongba
China,Qingnian
United States,Albuquerque
Nigeria,Kaduna
Mexico,Tlalnepantla
China,Xinhualu
China,Guangshui
Germany,Frankfurt
Indonesia,Samarinda
Taiwan,Changhua
South Africa,Pietermaritzburg
"Korea, North",HÅ­ngnam
India,KolhÄpur
Venezuela,Ciudad Guayana
Colombia,CÃºcuta
China,Licheng
India,Thiruvananthapuram
Russia,Tyumen
Venezuela,San CristÃ³bal
Ukraine,Zaporizhzhia
Mexico,CancÃºn
Japan,Kumamoto
China,Chengguan
China,Nehe
Nigeria,Sokoto
United States,Birmingham
China,Zunhua
Iran,OrÅ«mÄ«yeh
Nigeria,Oyo
China,Wugang
China,Shuangqiao
France,Rennes
China,Sizhan
China,Langzhong
United Kingdom,Bristol
China,Qianâ€™an
Ukraine,Lviv
China,Zouping
Germany,Bremen
Mexico,Reynosa
Iraq,An Najaf
Japan,Sagamihara
China,Guli
United States,Sarasota
Japan,Okayama
Canada,Mississauga
China,Lingbao Chengguanzhen
China,Anlu
China,Wusong
United States,Dayton
Nigeria,Enugu
Malaysia,George Town
Brazil,JaboatÃ£o
Brazil,Santo AndrÃ©
China,Xichang
Colombia,Soledad
China,Chengxiang
Russia,Tolyatti
India,SahÄranpur
India,Warangal
Brazil,Osasco
China,Dashiqiao
Syria,Latakia
United States,Rochester
United States,Fresno
Indonesia,Banjarmasin
India,Salem
China,Changsha
France,Grenoble
China,Shishi
Mexico,Guadalupe
Brazil,Aracaju
Nigeria,Bauchi
Canada,Hamilton
Poland,ÅÃ³dÅº
China,Miluo Chengguanzhen
China,Gaizhou
Japan,Shizuoka
India,MÄlegaon
Iraq,KarbalÄâ€™
China,Leling
Brazil,SÃ£o JosÃ© dos Campos
China,Jianshe
Mexico,Acapulco de JuÃ¡rez
United Kingdom,Sheffield
China,Jingcheng
Philippines,City of ParaÃ±aque
India,Kochi
United States,Allentown
Pakistan,Bahawalpur
Indonesia,Tasikmalaya
Macau,Macau
Mexico,TorreÃ³n
China,Xinmin
China,Shanhu
China,Zhongshu
China,XigazÃª
Australia,Gold Coast
Italy,Palermo
Philippines,Cagayan de Oro
India,Gorakhpur
China,Pinghu
China,Guankou
United States,Tulsa
China,Yatou
China,Songyang
United States,Cape Coral
"Korea, North",Châ€™Ångjin
Brazil,SÃ£o JosÃ© dos Pinhais
China,Puyang Chengguanzhen
China,Qionghu
China,Yanshi Chengguanzhen
Brazil,RibeirÃ£o PrÃªto
Philippines,DasmariÃ±as
Angola,Huambo
China,Wenchang
China,Shulan
Venezuela,Catia La Mar
CÃ´te Dâ€™Ivoire,BouakÃ©
Iraq,As SulaymÄnÄ«yah
"Korea, South",Hwasu-dong
"Korea, South",Jeonju
Mexico,Durango
India,Shimoga
"Korea, South",Ansan
Zimbabwe,Bulawayo
China,Xiping
China,Sanhe
India,GuntÅ«r
China,Dali
United States,Concord
India,TiruppÅ«r
"Korea, South",Châ€™Ånan
Spain,Zaragoza
Russia,Izhevsk
China,Guixi
Japan,HonchÅ
Brazil,Sorocaba
Mexico,Villahermosa
Malaysia,Petaling Jaya
China,Wuxue
Netherlands,Utrecht
Congo (Kinshasa),Kikwit
United States,Colorado Springs
Philippines,Valenzuela
China,Gaobeidian
China,Qufu
China,Ruiming
Poland,WrocÅ‚aw
Iran,Rasht
France,Nantes
Germany,Stuttgart
Saudi Arabia,Al HufÅ«f
China,Xinshi
Bolivia,Cochabamba
Russia,Barnaul
Lebanon,Tripoli
China,Jinâ€™e
Libya,Benghazi
Ukraine,Kryvyy Rih
"Korea, South",Yanggok
China,Changping
India,Raurkela
Egypt,á¸¨alwÄn
United States,Charleston
Mexico,ChimalhuacÃ¡n
China,Xinxing
China,Suohe
India,Mangalore
China,Zhuangyuan
Russia,Ulyanovsk
Russia,Irkutsk
India,NÄnded
Philippines,Bacoor
Indonesia,Pontianak
China,Bazhou
United States,Springfield
China,Turpan
Germany,DÃ¼sseldorf
China,Xingtai
China,Meihekou
China,Jurong
China,Zhugang
Russia,Khabarovsk
China,Xinji
"Korea, North",HamhÅ­ng
Indonesia,Serang
Saudi Arabia,Buraydah
Yemen,Taâ€˜izz
France,Montpellier
Argentina,San Miguel de TucumÃ¡n
Russia,Yaroslavl
China,Zhangshu
United States,Grand Rapids
Russia,Vladivostok
Malaysia,Kuantan
India,Cuttack
Indonesia,Jambi
China,Zhuozhou
Brazil,UberlÃ¢ndia
Sweden,Gothenburg
China,Tianchang
Brazil,Canoas
Pakistan,Sargodha
Philippines,Las PiÃ±as City
Indonesia,Cimahi
Japan,Kawaguchi
Mexico,Tuxtla
Indonesia,Balikpapan
China,Qamdo
South Africa,Durban
Japan,Kagoshima
Philippines,General Santos
India,ChÄnda
Saudi Arabia,Al á¸¨illah
Russia,Makhachkala
Argentina,Mar del Plata
Canada,Brampton
China,Luocheng
United States,Mission Viejo
Germany,Dortmund
China,Chuxiong
Philippines,Makati City
United States,Albany
Malaysia,Shah Alam
United States,Knoxville
Germany,Essen
Brazil,CuiabÃ¡
China,Shangzhi
China,Botou
Colombia,Bucaramanga
"Korea, South",Anyang
Italy,Genoa
China,Kuiju
Mexico,Tlaquepaque
Japan,HachiÅji
India,Dehra DÅ«n
Saudi Arabia,AÅ£ Å¢Äâ€™if
Philippines,San Jose del Monte
United States,Bakersfield
United States,Ogden
China,Xiulin
China,Fuâ€™an
Spain,MÃ¡laga
Russia,Tomsk
Iran,KermÄn
United Kingdom,Kingston upon Hull
Egypt,Al Maá¸©allah al KubrÃ¡
China,Luofeng
China,Lingyuan
United States,Baton Rouge
Colombia,Pereira
Venezuela,Ciudad BolÃ­var
India,DurgÄpur
Russia,Orenburg
China,Shenzhou
India,Ä€sansol
Philippines,Bacolod
United States,Akron
United States,New Haven
China,Zhenzhou
Indonesia,Surakarta
Mexico,Tlajomulco de ZÃºÃ±iga
China,Jieshou
China,Lanxi
Iran,ZÄhedÄn
China,Dangyang
United States,Columbia
Russia,Kemerovo
Germany,Dresden
Nigeria,Uyo
India,BhÄvnagar
China,Luanzhou
Mexico,Veracruz
Russia,Novokuznetsk
India,Nellore
Peru,Chiclayo
Yemen,Al á¸¨udaydah
Iran,EslÄmshahr
Angola,Cabinda
India,AmrÄvati
China,Korla
China,Huanghua
China,Xingcheng
China,Wancheng
China,Kaiyuan
Germany,Leipzig
China,Fengcheng
India,Ajmer
China,Sihui
India,Tinnevelly
China,Fuding
Venezuela,MaturÃ­n
Iraq,An NÄÅŸirÄ«yah
Iraq,Al á¸¨illah
Colombia,IbaguÃ©
Germany,Hannover
Poland,PoznaÅ„
Russia,Ryazan
China,Panshi
Sudan,Kassala
China,Changâ€™an
China,Wencheng
China,Shashi
China,Aksu
Argentina,Salta
"Korea, South",Kimhae
Russia,Astrakhan
China,Mingguang
Russia,Naberezhnyye Chelny
Belgium,Antwerp
India,BÄ«kaner
India,Agartala
Mexico,Xalapa
Zambia,Ndola
Iran,HamadÄn
Colombia,Villavicencio
China,Ailan Mubage
Mexico,Ensenada
France,Lyon
Vietnam,Báº¯c Ninh
Mexico,Ciudad Apodaca
Venezuela,Santa Teresa del Tuy
Brazil,Londrina
Russia,Penza
Mexico,Heroica Matamoros
Egypt,Port Said
Pakistan,New Mirpur
China,Yucheng
Colombia,Bello
Morocco,MeknÃ¨s
Germany,Nuremberg
"Korea, South",Pohang
Japan,Utsunomiya
China,Anda
China,Jinghong
China,Liaoyuan
United States,Mesa
Canada,Surrey
Mexico,CuautitlÃ¡n Izcalli
India,Ujjain
Colombia,Santa Marta
China,Beining
Vietnam,Háº£i DÆ°Æ¡ng
Haiti,Carrefour
Belarus,Homyelâ€™
